epoch,train_loss,train_bce,train_kld,val_loss,val_bce,val_kld
1,2020.1739228515626,2008.7741228515624,11.39979257903099,1910.6241484375,1886.1425390625,24.481613037109376
2,1877.586391015625,1850.2751935546876,27.31119969177246,1869.9211015625,1839.314578125,30.60651904296875
3,1844.7739208984376,1814.907995703125,29.86591887817383,1835.6794296875,1805.320703125,30.358715942382812
4,1826.6450201171874,1795.1873171875,31.457705352783204,1820.325375,1788.1142578125,32.211112182617185
5,1814.8067451171876,1781.389580078125,33.4171660949707,1812.901046875,1778.843015625,34.05802880859375
6,1803.715520703125,1767.595620703125,36.11989581298828,1808.861875,1771.612921875,37.2489453125
7,1796.644594921875,1759.33045859375,37.31413741455078,1801.042390625,1762.5911796875,38.45121228027344
8,1791.9076998046876,1753.4033609375,38.504332818603515,1789.33965625,1751.2788203125,38.06084912109375
9,1786.40407578125,1746.663579296875,39.74049732055664,1787.0990078125,1748.3483828125,38.75063793945313
10,1784.5215544921875,1743.720213671875,40.8013399230957,1794.3904296875,1752.5983046875,41.79212060546875
11,1781.711202734375,1740.07411875,41.637087518310544,1788.093109375,1747.3288203125,40.764302001953126
12,1779.9072666015625,1737.5209916015624,42.386272393798826,1780.7864296875,1737.33553125,43.45090673828125
13,1777.7035900390624,1734.6848626953124,43.01872727661133,1781.0455625,1739.71103125,41.3345400390625
14,1777.2727138671876,1733.583343359375,43.68937276000977,1779.7655078125,1736.97384375,42.791671508789065
15,1775.6655982421876,1731.3626681640626,44.302925787353516,1776.646578125,1732.47478125,44.17179382324219
16,1774.1892849609376,1729.51954140625,44.66974569702148,1777.593578125,1734.33534375,43.25823754882813
17,1773.7251263671876,1728.4798865234375,45.24524024658203,1794.302265625,1747.8149765625,46.487281494140625
18,1774.876076953125,1729.506565234375,45.36951221313477,1774.7487890625,1730.0100625,44.73873278808594
19,1772.220135546875,1726.47073515625,45.7494017578125,1777.8003359375,1730.9149296875,46.885406372070314
20,1771.6130146484375,1725.4786068359374,46.134411853027345,1773.1399453125,1727.748015625,45.391946533203125
